dest;orig;hombres;mujeres;año
Canarias;Resto de UE-28;630;672;2000
   Lanzarote;Resto de UE-28;75;105;2000
   Fuerteventura;Resto de UE-28;35;39;2000
   Gran Canaria;Resto de UE-28;154;153;2000
   Tenerife;Resto de UE-28;333;327;2000
   La Gomera;Resto de UE-28;3;5;2000
   La Palma;Resto de UE-28;29;41;2000
   El Hierro;Resto de UE-28;1;2;2000
Canarias;Resto del mundo;803;697;2000
   Lanzarote;Resto del mundo;120;119;2000
   Fuerteventura;Resto del mundo;86;35;2000
   Gran Canaria;Resto del mundo;259;230;2000
   Tenerife;Resto del mundo;305;269;2000
   La Gomera;Resto del mundo;4;7;2000
   La Palma;Resto del mundo;25;35;2000
   El Hierro;Resto del mundo;4;2;2000
Canarias;España;13840;13488;1999
   Lanzarote;España;1048;973;1999
   Fuerteventura;España;539;429;1999
   Gran Canaria;España;5769;5490;1999
   Tenerife;España;5922;6000;1999
   La Gomera;España;83;94;1999
   La Palma;España;458;478;1999
   El Hierro;España;21;24;1999
Canarias;Resto de UE-28;612;664;1999
   Lanzarote;Resto de UE-28;73;78;1999
   Fuerteventura;Resto de UE-28;18;24;1999
   Gran Canaria;Resto de UE-28;141;144;1999
   Tenerife;Resto de UE-28;325;366;1999
   La Gomera;Resto de UE-28;4;2;1999
   La Palma;Resto de UE-28;50;48;1999
   El Hierro;Resto de UE-28;1;2;1999
Canarias;Resto del mundo;445;435;1999
   Lanzarote;Resto del mundo;59;59;1999
   Fuerteventura;Resto del mundo;19;15;1999
   Gran Canaria;Resto del mundo;180;152;1999
   Tenerife;Resto del mundo;164;177;1999
   La Gomera;Resto del mundo;0;0;1999
   La Palma;Resto del mundo;23;30;1999
   El Hierro;Resto del mundo;0;2;1999
Canarias;España;12399;11925;1998
   Lanzarote;España;936;862;1998
   Fuerteventura;España;453;346;1998
   Gran Canaria;España;5554;5167;1998
   Tenerife;España;5011;5061;1998
   La Gomera;España;50;45;1998
   La Palma;España;385;428;1998
   El Hierro;España;10;16;1998
Canarias;Resto de UE-28;489;508;1998
   Lanzarote;Resto de UE-28;64;72;1998
   Fuerteventura;Resto de UE-28;14;13;1998
   Gran Canaria;Resto de UE-28;138;134;1998
   Tenerife;Resto de UE-28;232;256;1998
   La Gomera;Resto de UE-28;0;2;1998
   La Palma;Resto de UE-28;41;31;1998
   El Hierro;Resto de UE-28;0;0;1998
Canarias;Resto del mundo;389;424;1998
   Lanzarote;Resto del mundo;41;40;1998
   Fuerteventura;Resto del mundo;17;13;1998
   Gran Canaria;Resto del mundo;188;196;1998
   Tenerife;Resto del mundo;131;145;1998
   La Gomera;Resto del mundo;0;1;1998
   La Palma;Resto del mundo;12;29;1998
   El Hierro;Resto del mundo;0;0;1998
Canarias;España;11327;11231;1997
   Lanzarote;España;998;954;1997
   Fuerteventura;España;380;334;1997
   Gran Canaria;España;4857;4669;1997
   Tenerife;España;4677;4857;1997
   La Gomera;España;40;58;1997
   La Palma;España;363;338;1997
   El Hierro;España;12;21;1997
Canarias;Resto de UE-28;368;375;1997
   Lanzarote;Resto de UE-28;40;46;1997
   Fuerteventura;Resto de UE-28;10;13;1997
   Gran Canaria;Resto de UE-28;84;96;1997
   Tenerife;Resto de UE-28;196;175;1997
   La Gomera;Resto de UE-28;2;5;1997
   La Palma;Resto de UE-28;36;40;1997
   El Hierro;Resto de UE-28;0;0;1997
Canarias;Resto del mundo;362;310;1997
   Lanzarote;Resto del mundo;41;38;1997
   Fuerteventura;Resto del mundo;16;9;1997
   Gran Canaria;Resto del mundo;160;113;1997
   Tenerife;Resto del mundo;135;128;1997
   La Gomera;Resto del mundo;0;1;1997
   La Palma;Resto del mundo;10;18;1997
   El Hierro;Resto del mundo;0;3;1997
Canarias;España;9070;8936;1996
   Lanzarote;España;760;771;1996
   Fuerteventura;España;268;237;1996
   Gran Canaria;España;4313;4179;1996
   Tenerife;España;3388;3404;1996
   La Gomera;España;34;29;1996
   La Palma;España;293;301;1996
   El Hierro;España;14;15;1996
Canarias;Resto de UE-28;211;234;1996
   Lanzarote;Resto de UE-28;36;51;1996
   Fuerteventura;Resto de UE-28;4;2;1996
   Gran Canaria;Resto de UE-28;48;57;1996
   Tenerife;Resto de UE-28;100;97;1996
   La Gomera;Resto de UE-28;0;0;1996
   La Palma;Resto de UE-28;23;26;1996
   El Hierro;Resto de UE-28;0;1;1996
Canarias;Resto del mundo;196;181;1996
   Lanzarote;Resto del mundo;28;14;1996
   Fuerteventura;Resto del mundo;5;4;1996
   Gran Canaria;Resto del mundo;92;99;1996
   Tenerife;Resto del mundo;66;50;1996
   La Gomera;Resto del mundo;0;0;1996
